user_id,element_id,start_date,end_date
34,16,2021-09-25 11:09:37.213894,2021-09-25 11:27:20.755200
49,112,2020-10-29 20:22:45.013492,2020-10-30 07:10:38.032474
49,113,2020-10-30 04:44:30.571829,2020-10-31 23:59:28.954840
49,115,2020-11-05 08:19:17.699545,2020-11-06 08:23:32.090830
49,116,2020-11-05 10:35:04.627882,2020-11-07 07:03:07.125652
38,7,2020-12-24 23:23:37.044455,2020-12-25 06:47:41.269636
38,19,2020-05-10 14:45:38.115565,2020-05-12 13:29:18.399691
38,20,2020-05-09 18:20:01.487227,2020-05-11 11:39:28.048035
12,16,2019-12-26 04:19:56.252653,2019-12-27 04:48:29.352984
12,17,2019-12-25 20:58:08.956980,2019-12-25 23:45:24.366135
12,43,2022-05-04 02:16:08.992305,2022-05-04 19:34:48.175342
12,44,2022-05-03 12:16:02.401679,2022-05-03 15:18:14.111891
12,45,2022-05-05 12:17:05.826272,2022-05-06 10:04:28.243992
12,46,2022-05-09 18:19:27.978907,2022-05-10 00:35:47.974817
12,47,2022-05-09 19:05:29.009110,2022-05-11 00:07:31.461327
12,48,2022-05-09 13:43:51.476924,2022-05-09 14:22:08.473189
5,73,2021-03-14 04:52:07.393664,2021-03-15 22:09:27.446999
5,74,2021-03-13 18:00:17.796571,2021-03-15 10:54:30.959164
3,16,2019-11-19 21:43:22.135727,2019-11-20 02:09:40.350115
3,17,2019-11-20 07:00:15.028222,2019-11-22 03:20:03.396821
3,61,2019-07-15 12:07:12.163557,2019-07-17 09:23:40.027535
3,62,2019-07-15 18:28:48.287720,2019-07-16 13:19:13.543364
3,63,2019-07-19 07:36:55.066761,2019-07-20 01:46:55.733863
3,19,2016-01-21 19:05:32.602940,2016-01-22 18:33:45.557702
3,20,2016-01-21 13:54:30.222976,2016-01-22 13:45:32.206397
3,21,2016-01-24 01:17:51.913991,2016-01-24 20:14:13.192559
3,23,2016-01-21 23:40:18.990959,2016-01-23 05:41:00.714136
3,24,2016-01-17 13:11:11.082003,2016-01-18 02:18:56.109648
3,67,2022-02-23 17:06:13.327848,2022-02-24 10:19:23.833732
3,68,2022-02-23 07:37:31.143866,2022-02-24 14:00:20.454433
3,70,2022-02-22 20:58:52.570746,2022-02-23 08:26:24.865569
3,71,2022-02-22 22:31:41.026631,2022-02-24 19:10:42.702766
0,19,2016-05-28 16:25:14.597467,2016-05-29 21:57:43.676691
0,21,2016-05-27 15:11:03.410439,2016-05-28 06:48:31.402878
0,23,2016-05-24 10:58:49.829335,2016-05-24 16:16:34.259696
0,24,2016-05-28 16:45:09.973635,2016-05-30 11:15:42.980211
0,25,2016-05-28 07:40:59.863302,2016-05-29 07:30:44.740212
0,16,2019-11-14 18:38:34.818342,2019-11-15 12:29:40.820254
0,87,2022-03-26 13:31:39.621278,2022-03-28 10:29:51.251097
10,0,2021-06-15 23:13:10.037532,2021-06-16 04:35:44.938074
10,1,2021-06-16 13:57:23.233386,2021-06-16 21:47:05.388147
10,7,2020-03-02 11:49:11.346746,2020-03-02 18:26:27.375093
28,50,2021-10-03 19:31:36.195740,2021-10-04 15:07:47.543730
28,51,2021-09-30 04:38:24.129637,2021-10-01 13:55:20.650466
28,26,2022-03-05 04:02:32.873528,2022-03-05 09:00:47.396008
28,27,2022-03-05 01:56:50.152681,2022-03-05 06:14:07.316525
28,28,2022-03-05 10:25:40.106296,2022-03-07 04:23:37.705115
28,29,2022-03-05 08:24:44.260518,2022-03-06 14:33:45.487962
28,7,2020-09-17 23:03:12.096067,2020-09-19 15:13:18.769944
28,8,2020-09-17 06:13:59.567278,2020-09-17 20:22:50.125166
1,43,2022-09-20 05:17:11.003072,2022-09-21 10:32:13.751246
42,26,2021-12-16 10:45:31.684070,2021-12-16 18:31:34.633495
42,27,2021-12-16 14:58:05.012726,2021-12-18 08:55:21.692310
42,28,2021-12-16 11:40:17.037472,2021-12-16 17:26:21.759148
42,29,2021-12-16 06:05:24.777094,2021-12-16 06:13:46.087246
42,30,2021-12-15 01:06:44.294719,2021-12-16 04:15:28.164727
42,31,2021-12-14 22:46:51.851255,2021-12-16 09:04:32.536067
35,73,2021-01-20 21:27:51.190890,2021-01-20 22:42:14.254096
35,74,2021-01-17 20:13:44.169455,2021-01-18 03:09:00.322017
35,75,2021-01-18 02:47:34.977330,2021-01-18 15:27:12.415022
35,76,2021-01-20 07:12:04.795950,2021-01-21 19:58:07.822530
15,26,2022-10-18 22:18:47.645047,2022-10-20 20:50:02.484697
15,27,2022-10-18 19:04:33.880198,2022-10-19 08:00:23.854364
15,28,2022-10-18 16:26:54.094620,2022-10-19 04:27:20.995925
15,29,2022-10-18 16:33:01.987697,2022-10-19 00:05:53.933494
15,73,2021-12-08 13:30:56.642964,2021-12-09 22:40:51.177522
15,74,2021-12-02 15:10:23.243660,2021-12-04 08:10:18.465585
15,76,2021-12-09 23:46:24.041303,2021-12-10 16:55:51.309964
15,19,2018-06-09 11:11:34.861075,2018-06-11 08:45:19.403485
15,21,2018-06-11 21:49:30.964247,2018-06-12 14:51:29.371338
15,22,2018-06-11 18:15:31.353946,2018-06-13 08:27:35.872457
15,23,2018-06-05 09:37:53.730832,2018-06-06 05:39:24.906788
15,16,2019-07-23 14:49:34.968340,2019-07-24 09:07:29.203194
15,50,2021-06-21 13:29:31.728062,2021-06-23 03:05:34.982956
15,51,2021-06-23 17:40:08.410259,2021-06-25 12:19:02.635743
14,36,2021-11-12 08:23:52.643724,2021-11-13 04:38:27.748576
14,37,2021-11-12 05:41:27.063985,2021-11-13 18:29:12.485717
14,77,2022-11-24 21:16:15.241302,2022-11-25 11:38:53.625896
14,78,2022-11-24 07:40:40.498957,2022-11-24 13:31:12.207701
14,79,2022-11-24 11:06:25.751379,2022-11-25 02:44:08.575283
14,80,2022-11-27 02:52:14.581930,2022-11-27 16:18:15.456330
14,81,2022-11-26 21:28:31.240778,2022-11-28 07:00:04.067734
14,82,2022-11-26 14:17:49.545745,2022-11-26 17:41:33.844601
14,83,2022-11-30 23:05:44.267740,2022-12-02 17:28:33.474409
41,77,2022-06-25 07:32:18.597256,2022-06-26 18:16:41.711986
41,80,2022-06-19 09:38:35.376387,2022-06-19 10:56:44.777744
41,81,2022-06-18 20:30:02.439317,2022-06-20 12:16:18.550721
41,73,2021-05-02 18:14:49.416203,2021-05-03 09:42:24.969240
41,74,2021-05-09 10:04:28.181619,2021-05-10 09:43:05.914715
41,76,2021-05-06 03:19:16.871385,2021-05-06 07:42:18.847524
36,43,2022-03-09 03:50:16.037007,2022-03-10 01:04:57.129255
39,26,2022-05-18 03:38:36.329171,2022-05-19 15:00:25.057231
39,27,2022-05-17 20:07:05.036946,2022-05-19 06:48:50.616714
39,28,2022-05-17 17:50:39.824053,2022-05-18 18:25:28.528954
39,30,2022-05-23 23:39:14.368599,2022-05-24 21:04:53.755128
2,73,2021-07-31 11:27:04.422600,2021-08-02 01:28:16.781909
2,87,2023-01-31 19:18:59.607419,2023-02-02 05:49:27.885960
2,89,2023-02-01 09:56:47.862164,2023-02-02 13:27:24.395689
2,90,2023-02-01 06:46:27.493271,2023-02-03 02:21:23.611032
2,91,2023-02-01 01:56:37.645115,2023-02-01 17:03:30.897221
2,26,2021-11-22 16:38:23.838214,2021-11-23 23:50:25.916576
2,27,2021-11-22 12:00:20.209075,2021-11-23 20:58:41.829175
2,28,2021-11-22 07:57:32.015611,2021-11-24 04:18:27.100739
2,29,2021-11-22 19:17:34.526560,2021-11-23 12:38:11.403915
17,95,2023-03-04 06:41:55.273330,2023-03-05 20:21:38.097601
17,7,2020-12-15 20:23:59.956758,2020-12-16 14:46:28.722946
17,8,2020-12-14 17:57:56.530872,2020-12-16 10:45:57.606718
17,9,2020-12-14 18:13:42.142134,2020-12-15 14:46:11.025010
17,10,2020-12-15 07:11:42.708042,2020-12-16 01:47:10.137855
17,12,2020-12-18 17:03:12.798879,2020-12-19 23:43:03.265501
17,13,2020-12-18 00:40:04.075285,2020-12-19 23:20:06.763426
17,14,2020-12-18 10:36:09.869579,2020-12-19 04:02:24.815571
17,15,2020-12-18 18:58:14.264761,2020-12-19 18:30:41.116367
17,0,2021-01-18 01:48:02.949207,2021-01-19 16:38:09.498370
17,1,2021-01-17 22:25:50.394342,2021-01-19 04:58:42.405168
17,4,2021-01-14 08:00:05.373789,2021-01-15 18:19:16.101393
17,5,2021-01-14 06:23:32.887185,2021-01-15 18:00:05.014430
27,19,2018-10-28 09:13:16.012320,2018-10-29 13:48:15.553227
27,20,2018-10-28 20:10:18.411637,2018-10-30 13:00:15.083827
27,21,2018-11-02 04:53:08.764708,2018-11-02 20:09:11.627892
27,22,2018-11-02 06:30:04.551528,2018-11-03 16:32:55.250884
27,23,2018-10-24 02:38:27.264086,2018-10-25 02:32:44.464449
27,24,2018-10-31 05:45:36.948149,2018-11-01 18:45:51.235097
6,50,2021-05-10 04:51:58.818525,2021-05-12 04:36:58.753398
6,67,2022-10-13 16:15:57.002741,2022-10-14 05:08:23.837039
7,19,2016-08-25 17:06:48.425678,2016-08-27 02:00:25.406472
7,20,2016-08-26 06:08:09.255303,2016-08-26 16:33:57.016736
7,21,2016-08-26 08:29:00.981615,2016-08-26 15:40:30.407639
7,22,2016-08-26 15:39:02.114677,2016-08-28 11:48:35.012563
7,103,2020-05-06 16:21:47.751947,2020-05-08 00:48:25.847396
7,104,2020-05-10 06:13:16.405502,2020-05-10 16:46:37.408972
37,7,2021-11-11 10:11:06.618819,2021-11-12 03:51:13.683011
37,67,2022-10-06 05:15:26.181828,2022-10-06 10:45:35.612690
37,68,2022-10-06 04:44:40.381113,2022-10-08 04:02:46.959615
37,69,2022-10-06 06:39:04.368306,2022-10-06 07:58:24.975972
21,7,2022-08-16 08:55:35.025046,2022-08-17 22:40:13.669183
21,8,2022-08-19 14:13:27.354382,2022-08-20 01:23:12.532660
21,9,2022-08-12 15:35:11.359355,2022-08-13 21:07:18.705860
21,12,2022-08-12 23:18:12.778000,2022-08-13 12:47:26.825457
21,13,2022-08-13 07:39:02.452172,2022-08-13 20:46:16.009596
29,67,2023-01-01 04:02:28.674517,2023-01-02 11:51:08.900537
29,70,2023-01-04 06:29:06.685700,2023-01-05 02:45:02.934630
24,36,2022-01-28 22:32:48.199868,2022-01-29 00:25:59.948161
24,37,2022-01-29 03:08:58.194384,2022-01-29 23:46:31.674483
24,38,2022-01-29 08:14:57.735664,2022-01-30 15:28:17.053158
24,39,2022-01-29 16:05:04.027263,2022-01-31 05:53:59.614703
24,40,2022-02-02 14:39:23.035094,2022-02-03 12:00:32.356091
24,41,2022-02-02 21:05:06.241419,2022-02-04 01:34:46.347030
24,42,2022-02-02 19:50:54.957321,2022-02-04 19:04:00.613318
13,19,2016-09-16 23:36:40.307548,2016-09-18 05:35:16.033828
13,21,2016-09-20 09:44:20.041045,2016-09-21 04:40:40.651100
13,23,2016-09-15 20:03:53.719611,2016-09-17 12:37:43.334124
